Parameter,Group,Unit,BaselineScaled,SeededValue,FittedValue,AbsoluteChange,RatioToBaseline,LogRatioToBaseline,WithinBounds,DistanceToLowerBound,DistanceToUpperBound,NearLowerBound,NearUpperBound,PlausibilityFlag
group.R_sys_scale,coupled_resistance_scale,ratio,1,0.457982333986,0.457982333986,-0.542017666014,0.457982333986,-0.780924667694843,1,0.081561699602353,0.918438300397647,1,0,WARNING
R.SVEN,resistance,mmHg*s/mL,0.140116720877846,0.17210262897,0.17210262897,0.0319859080921543,1.22828044998312,0.205615183115414,1,0.345116854159635,0.654883145840365,0,0,OK
group.R_pul_scale,coupled_resistance_scale,ratio,1,0.45,0.45,-0.55,0.45,-0.798507696217772,1,0,1,1,0,WARNING
C.SAR,compliance,mL/mmHg,0.474604312628576,0.505791080716,0.505791080716,0.0311867680874242,1.06571109292012,0.0636422692364063,1,0.121442973721734,0.878557026278266,0,0,OK
C.PAR,compliance,mL/mmHg,1.78422535433526,1.69501408662,1.69501408662,-0.0892112677152601,0.950000000000842,-0.0512932943866639,1,4.57470012675108e-13,0.999999999999542,1,0,WARNING
E.LV.EA,elastance,mmHg/mL,9.8081780742993,6.98614086497,6.98614086497,-2.8220372093293,0.712277123442122,-0.339288224978375,1,0.0701732021513264,0.929826797848674,1,0,WARNING
E.LV.EB,elastance,mmHg/mL,0.224186927412555,0.160608281828,0.160608281828,-0.0635786455845554,0.716403421384352,-0.333511833005265,1,0.0612649586233429,0.938735041376657,1,0,WARNING
E.RV.EA,elastance,mmHg/mL,2.34558108649202,2.07924350997,2.07924350997,-0.266337576522022,0.886451345444489,-0.120529038849414,1,0.164122607533897,0.835877392466103,0,0,OK
E.RV.EB,elastance,mmHg/mL,0.19702881126533,0.108365846196,0.108365846196,-0.0886629650693298,0.550000000000348,-0.597837000754988,1,1.69766305893626e-13,0.99999999999983,1,0,WARNING
V0.LV,unstressed_volume,mL,1.26269628326306,1.42789625539,1.42789625539,0.165199972126937,1.13083112250875,0.122952869016707,1,0.0612970560229865,0.938702943977013,1,0,WARNING
V0.RV,unstressed_volume,mL,2.99988945725805,3.03618578162,3.03618578162,0.0362963243619534,1.01209922061433,0.0120266101445681,1,0.168958025367473,0.831041974632527,0,0,OK
