Metric,Unit,Description,Comparator,UncertaintyFraction,UncertaintyAbs,Clinical,Calibrated,Error_pct,Tier,IncludedInCalibration,IncludedInPrimaryRMSE,Flag,ReportRole,Interpretation
RAP_min,mmHg,Right atrial diastolic-like minimum,RAP_min,0.2,NaN,NaN,1.25949718681296,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
RAP_max,mmHg,Right atrial systolic-like maximum,RAP_max,0.2,NaN,NaN,8.38196742166014,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
LAP_min,mmHg,Left atrial diastolic-like minimum,LAP_min,0.2,NaN,NaN,2.92209881821285,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
LAP_mean,mmHg,Left atrial mean pressure,LAP_mean,0.1,NaN,NaN,7.90864197417283,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
LAP_max,mmHg,Left atrial systolic-like maximum,LAP_max,0.2,NaN,NaN,9.94698060798057,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
LVEDP,mmHg,LV end-diastolic pressure at LVEDV,LVEDP,0.1,NaN,NaN,6.95408963601564,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
RVEDP,mmHg,RV end-diastolic pressure at RVEDV,RVEDP,0.1,NaN,NaN,10.8435368226635,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
PVR,WU,Derived pulmonary vascular resistance,PVR,0.2,NaN,NaN,1.92547948133471,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
VSD_frac_pct,%,VSD shunt fraction of Qp,VSD_frac_pct,0.2,NaN,NaN,12.9461720304351,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
RVEF,-,RV ejection fraction,RVEF,0.1,NaN,NaN,0.707306623478108,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
