Parameter,Group,Unit,BaselineScaled,SeededValue,FittedValue,AbsoluteChange,RatioToBaseline,LogRatioToBaseline,WithinBounds,DistanceToLowerBound,DistanceToUpperBound,NearLowerBound,NearUpperBound,PlausibilityFlag,ReportRole,Interpretation
group.R_sys_scale,coupled_resistance_scale,ratio,1,0.457982333986,0.661571667910419,-0.338428332089581,0.661571667910419,-0.413136959783296,1,0.161400654082517,0.838599345917483,0,0,OK,model_derived_parameter_finding,"Calibrated/model parameter; compare to literature or plausibility bounds, not direct patient clinical validation."
R.SVEN,resistance,mmHg*s/mL,0.140116720877846,0.17210262897,0.0762810016263978,-0.063835719251448,0.544410411180689,-0.608051884249761,1,0.0601710046586202,0.93982899534138,1,0,WARNING,model_derived_parameter_finding,"Calibrated/model parameter; compare to literature or plausibility bounds, not direct patient clinical validation."
group.R_pul_scale,coupled_resistance_scale,ratio,1,0.45,0.619731741026924,-0.380268258973076,0.619731741026924,-0.478468570337192,1,0.0722262727774146,0.927773727222586,1,0,WARNING,model_derived_parameter_finding,"Calibrated/model parameter; compare to literature or plausibility bounds, not direct patient clinical validation."
C.SAR,compliance,mL/mmHg,0.474604312628576,0.505791080716,0.76192326260177,0.287318949973194,1.6053863025009,0.473364414537978,1,0.687851609587242,0.312148390412758,0,0,OK,model_derived_parameter_finding,"Calibrated/model parameter; compare to literature or plausibility bounds, not direct patient clinical validation."
E.LV.EA,elastance,mmHg/mL,9.8081780742993,6.98614086497,6.64719330211393,-3.16098477218537,0.677719475702811,-0.389021829311708,1,0.0485746723142571,0.951425327685743,1,0,WARNING,model_derived_parameter_finding,"Calibrated/model parameter; compare to literature or plausibility bounds, not direct patient clinical validation."
E.LV.EB,elastance,mmHg/mL,0.224186927412555,0.160608281828,0.160987390141501,-0.0631995372710543,0.718094458046822,-0.331154161418523,1,0.0621549779193803,0.93784502208062,1,0,WARNING,model_derived_parameter_finding,"Calibrated/model parameter; compare to literature or plausibility bounds, not direct patient clinical validation."
E.RV.EA,elastance,mmHg/mL,2.34558108649202,2.07924350997,1.9477799079541,-0.397801178537926,0.83040399633642,-0.185842954038235,1,0.136782437237278,0.863217562762722,0,0,OK,model_derived_parameter_finding,"Calibrated/model parameter; compare to literature or plausibility bounds, not direct patient clinical validation."
E.RV.EB,elastance,mmHg/mL,0.19702881126533,0.108365846196,0.108365846196195,-0.0886629650691345,0.55000000000134,-0.597837000753185,1,6.54533116226182e-13,0.999999999999345,1,0,WARNING,model_derived_parameter_finding,"Calibrated/model parameter; compare to literature or plausibility bounds, not direct patient clinical validation."
E.LA.EA,elastance,mmHg/mL,0.98081780742993,0.583711160536,0.578682220386896,-0.402135587043034,0.589999708409899,-0.527633236303004,1,0.0692305449306921,0.930769455069308,1,0,WARNING,model_derived_parameter_finding,"Calibrated/model parameter; compare to literature or plausibility bounds, not direct patient clinical validation."
E.RA.EA,elastance,mmHg/mL,1.40734865189521,1.22899252131,0.740968642445246,-0.666380009449967,0.52649969959286,-0.641504517982134,1,0.0203843843022004,0.9796156156978,1,0,WARNING,model_derived_parameter_finding,"Calibrated/model parameter; compare to literature or plausibility bounds, not direct patient clinical validation."
V0.LV,unstressed_volume,mL,1.26269628326306,1.42789625539,0.949426582661686,-0.313269700601377,0.751904155612286,-0.285146415798312,1,0.000306485280073453,0.999693514719927,1,0,WARNING,model_derived_parameter_finding,"Calibrated/model parameter; compare to literature or plausibility bounds, not direct patient clinical validation."
V0.RV,unstressed_volume,mL,2.99988945725805,3.03618578162,2.53372744674744,-0.466162010510602,0.844606937304722,-0.168883922799803,1,0.0444165245446818,0.955583475455318,1,0,WARNING,model_derived_parameter_finding,"Calibrated/model parameter; compare to literature or plausibility bounds, not direct patient clinical validation."
