Parameter,Adult_Baseline,Demographic_Scaled,PreOp_Calibrated,PostOp_Baseline,PostOp_Calibrated,PctChange_Adult_to_Scaled,PctChange_Scaled_to_PreCal,PctChange_PostBase_to_PostCal
C.LA,5,1.78422535428248,1.78422535433526,1.78422535433526,1.78422535433526,-64.3154929143504,2.95819643199305e-09,0
C.PAR,5,1.78422535428248,1.69501408662,1.69501408662,1.69501408662,-64.3154929143504,-4.99999999710548,0
C.PCNO,0.0017,0.000606636620456043,0.000606636620473988,0.000606636620473988,0.000606636620473988,-64.3154929143504,2.95819555124366e-09,0
C.PCOX,0.1983,0.0707623775508431,0.205203957106789,0.205203957106789,0.133925752792178,-64.3154929143504,189.990195650716,-34.7352971743704
C.PVEN,13.75,4.90661972427682,14.228716138267,14.228716138267,9.28632930354235,-64.3154929143504,189.990195650716,-34.7352971743704
C.RA,5,1.78422535428248,1.78422535433526,1.78422535433526,1.78422535433526,-64.3154929143504,2.95819643199305e-09,0
C.SAR,1.33,0.474604312614536,0.505791080716,0.505791080716,0.76192326260177,-64.3154652169522,6.57110929516417,50.63991668718
C.SC,1,0.356845347830478,1.01083841450866,1.01083841450866,0.619028781459946,-64.3154652169522,183.270727965007,-38.7608570692439
C.SVEN,30,10.7053604349143,8.13837894836503,10.705360435231,24.0823796189539,-64.3154652169522,-23.9784685640046,124.956270876219
E.LA.EA,0.35,0.980817807458945,0.98081780742993,0.98081780742993,0.578682220386896,180.233659273984,-2.95820164610626e-09,-41.0000291590101
E.LA.EB,0.2,0.560467318547968,0.560467318531389,0.560467318531389,0.560467318531389,180.233659273984,-2.95819881626616e-09,0
E.LV.EA,3.5,9.80817807458945,6.98614086497,6.98614086497,6.64719330211393,180.233659273984,-28.7722876578948,-4.85171383468122
E.LV.EB,0.08,0.224186927419187,0.160608281828,0.224186927412555,0.160987390141501,180.233659273984,-28.3596578636841,-28.1905541953178
E.RA.EA,0.3,1.40734865195766,1.40734865189521,1.40734865189521,0.740968642445246,369.11621731922,-4.43729907947532e-09,-47.350030040714
E.RA.EB,0.1,0.46911621731922,0.469116217298404,0.469116217298404,0.469116217298404,369.11621731922,-4.43729513509728e-09,0
E.RV.EA,0.5,2.3455810865961,2.07924350997,2.07924350997,1.9477799079541,369.11621731922,-11.3548654594845,-6.32266501665313
E.RV.EB,0.042,0.197028811274073,0.108365846196,0.19702881126533,0.108365846196195,369.11621731922,-45.0000000024057,-44.999999999866
HR,75,105.376303938193,119,119,108,40.5017385842577,12.9286144537746,-9.2436974789916
L.PAR,1e-05,2.80233659273984e-05,2.80233659265694e-05,2.80233659265694e-05,2.80233659265694e-05,180.233659273984,-2.95818985971171e-09,0
L.PVEN,1e-05,2.80233659273984e-05,2.80233659265694e-05,2.80233659265694e-05,2.80233659265694e-05,180.233659273984,-2.95818985971171e-09,0
L.SAR,1e-05,2.80233659273984e-05,2.80233659265694e-05,2.80233659265694e-05,2.80233659265694e-05,180.233659273984,-2.95818985971171e-09,0
L.SVEN,1e-05,2.80233659273984e-05,2.80233659265694e-05,2.80233659265694e-05,2.80233659265694e-05,180.233659273984,-2.95818985971171e-09,0
