Metric,Parameter,ST_Initial,ST_Final,Delta_ST
CO_Lmin,C.SVEN,0.288381266875276,0.437312329658974,0.148931062783698
CO_Lmin,R.SC,0.182175417600976,0.197343356843607,0.01516793924263
CO_Lmin,R.SVEN,0.206640964159794,0.192085675846781,-0.0145552883130134
CO_Lmin,C.PVEN,0.155006944756022,0.0522563631588823,-0.10275058159714
CO_Lmin,C.SAR,0.0182071236547909,0.0445902442052303,0.0263831205504393
CO_Lmin,E.LV.EA,0.0626905461693387,0.0348692318996576,-0.0278213142696811
CO_Lmin,E.RV.EB,0.0276975767748793,0.0339652220155009,0.00626764524062162
CO_Lmin,E.LV.EB,0.0983378967694136,0.0244656483423809,-0.0738722484270327
CO_Lmin,E.RA.EA,0.00546713431121644,0.0110930317010229,0.00562589738980644
CO_Lmin,V0.RA,0.00492154911272347,0.00810921789366406,0.00318766878094059
CO_Lmin,R.PCOX,0.0141591359525543,0.00502313447448472,-0.00913600147806955
CO_Lmin,vsd.Cd,0,0.00291338462688374,0.00291338462688374
CO_Lmin,C.PAR,0.00419289873868584,0.00115785605025391,-0.00303504268843193
CO_Lmin,V0.LV,0.000480382448138952,0.000135405669143204,-0.000344976778995748
CO_Lmin,R.PVEN,0.00511541487788921,0,-0.00511541487788921
CO_Lmin,V0.RV,0.00247496793227086,0,-0.00247496793227086
CO_Lmin,E.LA.EA,0.00232817708494183,0,-0.00232817708494183
CO_Lmin,E.RV.EA,0.00105200258076523,0,-0.00105200258076523
CO_Lmin,R.SAR,0.000767534384532367,0,-0.000767534384532367
CO_Lmin,R.PAR,0,0,0
CO_Lmin,V0.LA,0,0,0
LAP_mean,E.LV.EB,0.384761807186717,0.458477655013734,0.0737158478270173
LAP_mean,C.SVEN,0.173860573110164,0.261009614582114,0.0871490414719504
LAP_mean,R.SVEN,0.097580706403144,0.0817294587036541,-0.0158512476994899
LAP_mean,E.LV.EA,0.042427552207519,0.0727675035302242,0.0303399513227052
LAP_mean,C.PVEN,0.282736691496929,0.0641590648862616,-0.218577626610668
LAP_mean,C.SAR,0.0143431317990351,0.0356591150913107,0.0213159832922756
LAP_mean,E.RV.EB,0.010967381150124,0.020507991279366,0.00954061012924202
LAP_mean,vsd.Cd,0.00321948358842424,0.00738894238879682,0.00416945880037258
LAP_mean,R.PAR,0.0011262871715308,0.00738894238879682,0.00626265521726602
LAP_mean,V0.RA,0.00346420158157253,0.00484577007072453,0.00138156848915199
LAP_mean,E.RA.EA,0.00453855168171004,0.00329864463905474,-0.0012399070426553
LAP_mean,E.LA.EA,0.00194574475607942,0.00210978022728065,0.000164035471201223
LAP_mean,V0.LV,0.000122819777369759,0.00105210746457859,0.000929287687208832
LAP_mean,V0.LA,0.00347609630459179,0.00100018354951484,-0.00247591275507695
LAP_mean,R.PVEN,0.00849195895761746,0,-0.00849195895761746
LAP_mean,C.PAR,0.00494936579331914,0,-0.00494936579331914
LAP_mean,R.PCOX,0.00465498585343177,0,-0.00465498585343177
LAP_mean,R.SAR,0.00248060243054215,0,-0.00248060243054215
LAP_mean,R.SC,0.00154474589428807,0,-0.00154474589428807
LAP_mean,E.RV.EA,0.00120092893745633,0,-0.00120092893745633
LAP_mean,V0.RV,0,0,0
LVEDV,C.SVEN,0.222572237761484,0.379360562328219,0.156788324566734
LVEDV,E.LV.EA,0.112159982100117,0.210759356277554,0.0985993741774368
LVEDV,R.SVEN,0.123775692173683,0.132151149215028,0.00837545704134529
LVEDV,C.PVEN,0.307721946477789,0.109602879852333,-0.198119066625455
LVEDV,C.SAR,0.0205890441733813,0.0532965475685367,0.0327075033951554
LVEDV,E.LV.EB,0.183082456910824,0.0523426728282205,-0.130739784082603
LVEDV,E.RV.EB,0.0116859905210528,0.0319384990140806,0.0202525084930278
