Parameter,ColumnNorm,Inactive,MaxAbsCorrelation,MostCorrelatedWith,Flagged
group.R_sys_scale,15.7688613580028,0,0.883415956630315,R.SVEN,0
R.SVEN,5.18174871877975,0,0.883415956630315,group.R_sys_scale,0
group.R_pul_scale,26.1996759026863,0,0.749535862308312,E.LV.EB,0
C.SAR,8.32914877431773,0,0.622834339228684,group.R_pul_scale,0
C.PAR,9.56572372994224,0,0.522757206491517,E.LV.EA,0
E.LV.EA,5.09242612420805,0,0.905249765763566,E.LV.EB,1
E.LV.EB,7.76735534935673,0,0.905249765763566,E.LV.EA,1
E.RV.EA,1.52386926710108,0,0.968943765027214,E.RV.EB,1
E.RV.EB,7.69503148768779,0,0.968943765027214,E.RV.EA,1
V0.LV,0.143970990934398,0,0.696546638866607,V0.RV,0
V0.RV,1.21728451171926,0,0.91427248422852,E.RV.EB,1
vsd.Cd,3.08761346777031,0,0.769291065205294,E.LV.EA,0
